pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2026-06-01	AI-assisted extraction of opportunistic findings from oncologic CT reports using large language models	Scientific Reports		"Kevin Roitero and Luigi Nardone and Davide Lacitignola and Riccardo Lunardi and Virginia Vegni and Laura Casotto and Emiliano Bacchetti and Irene Pavone and Nicolò Taveri and Lorenzo Gerratana and Fabio Puglisi and Rossano Girometti and Chiara Zuiani and Vincenzo Della Mea and Lorenzo Cereser"	ai-assisted-extraction-of-opportunistic-findings-from-oncologic-ct-reports-using-large-language-mode	https://www.nature.com/articles/s41598-026-56931-6	
2026-03-01	Analyzing AI Evaluation Benchmarks Through Information Retrieval and Network Science	ECIR 2026		"Gaia Simeoni and Michael Soprano and Riccardo Lunardi and Kevin Roitero and Stefano Mizzaro"	analyzing-ai-evaluation-benchmarks-through-information-retrieval-and-network-science	https://link.springer.com/chapter/10.1007/978-3-032-21300-6_25	
2026-03-01	Large Language Models as Assessors: On the Impact of Relevance Scales	ECIR 2026		"Riccardo Zamolo and Riccardo Lunardi and Michael Soprano and Gianluca Demartini and Stefano Mizzaro and Kevin Roitero"	large-language-models-as-assessors-on-the-impact-of-relevance-scales	https://link.springer.com/chapter/10.1007/978-3-032-21300-6_24	
2026-03-01	TREC BioGen 2025: A Retrieval and NLI-Based Approach for Biomedical Evidence Grounding			"Riccardo Lunardi and Riccardo Zamolo and Maria Elena Zuliani and Stefano Mizzaro and Vincenzo Della Mea and Kevin Roitero"	trec-biogen-2025-a-retrieval-and-nli-based-approach-for-biomedical-evidence-grounding	https://trec.nist.gov/pubs/trec34/papers/uniud.biogen.pdf	
2025-10-01	On Robustness and Reliability of Benchmark-Based Evaluation of LLMs	ECAI 2025		"Riccardo Lunardi and Vincenzo Della Mea and Stefano Mizzaro and Kevin Roitero"	on-robustness-and-reliability-of-benchmark-based-evaluation-of-llms	https://arxiv.org/abs/2509.04013	
2025-08-22	Political ideology shifts in large language models			"Pietro Bernardelle and Stefano Civelli and Leon Fröhling and Riccardo Lunardi and Kevin Roitero and Gianluca Demartini"	political-ideology-shifts-in-large-language-models	https://arxiv.org/abs/2508.16013	
2025-07-01	(Best Paper Award)Impersonating the Crowd: Evaluating LLMs' Ability to Replicate Human Judgment in Misinformation Assessment	ICTIR 2025		"David La Barbera and Riccardo Lunardi and Mengdie Zhuang and Kevin Roitero"	impersonating-the-crowd-evaluating-llms-ability-to-replicate-human-judgment-in-misinformation-assess	https://dl.acm.org/doi/abs/10.1145/3731120.3744581	
2025-07-01	PILs of Knowledge: A Synthetic Benchmark for Evaluating Question Answering Systems in Healthcare	SIGIR 2025		"Riccardo Lunardi and Michael Soprano and Paolo Coppola and Vincenzo Della Mea and Stefano Mizzaro and Kevin Roitero"	pils-of-knowledge-a-synthetic-benchmark-for-evaluating-question-answering-systems-in-healthcare	https://dl.acm.org/doi/abs/10.1145/3726302.3730283	
2025-06-01	Improving medical code classification for death certificates using ontology-adapted contrastive loss in BERT models	Ital-IA 2025		"Kevin Roitero and Davide Volpi and Riccardo Lunardi and Mihai Horia Popescu and Vincenzo Della Mea"	improving-medical-code-classification-for-death-certificates-using-ontology-adapted-contrastive-loss	https://air.uniud.it/handle/11390/1319545	
2025-05-08	Mapping and Influencing the Political Ideology of Large Language Models using Synthetic Personas	WWW 2025		"Pietro Bernardelle and Leon Fröhling and Stefano Civelli and Riccardo Lunardi and Kevin Roitero and Gianluca Demartini"	mapping-and-influencing-the-political-ideology-of-large-language-models-using-synthetic-personas	https://dl.acm.org/doi/abs/10.1145/3701716.3715578	
2025-05-01	Agent-Based Healthcare Chatbots for Regional System Services: A Case Study in the Friuli-Venezia Giulia Region	MIE 2025		"Riccardo Lunardi and Kevin Roitero and Michael Soprano and Paolo Coppola and Vincenzo Della Mea and Stefano Mizzaro"	agent-based-healthcare-chatbots-for-regional-system-services-a-case-study-in-the-friuli-venezia-giul	https://journals.sagepub.com/doi/abs/10.3233/SHTI250434	
2024-11-01	The Elusiveness of Detecting Political Bias in Language Models	CIKM 2024		"Riccardo Lunardi and David La Barbera and Kevin Roitero"	the-elusiveness-of-detecting-political-bias-in-language-models	https://dl.acm.org/doi/abs/10.1145/3627673.3680002	
2024-09-01	Conversational-Agent for Patient Information Leaflet	IIR 2024		"Riccardo Lunardi and Paolo Coppola"	conversational-agent-for-patient-information-leaflet	https://air.uniud.it/handle/11390/1292426	
2024-07-01	Report on the Hands-On PhD Course on Responsible AI from the Lens of an Information Access Researcher	ACM SIGIR Forum		"Damiano Spina and Kevin Roitero and Stefano Mizzaro and Vincenzo Della Mea and Francesca Da Ros and Michael Soprano and Hafsa Akebli and Alex Falcon and Mehdi Fasihi and Alessio Fiorin and David La Barbera and Daniele Lizzio Bosco and Riccardo Lunardi and Alberto Marturano and Zaka-Ud-Din Muhammad and Francesco Nascimben and Moritz Nottebaum and Massimiliano Pascoli and Mihai Horia Popescu and Laura Rasotto and Mubashara Rehman and Francesco Taverna and Biagio Tomasetig and Alessandro Tremamunno"	report-on-the-hands-on-phd-course-on-responsible-ai-from-the-lens-of-an-information-access-researche	https://dl.acm.org/doi/abs/10.1145/3722449.3722456	
